,taker_ratio,funding
2026-02-23,0.42868013627988727,
2026-02-24,0.5333875653132722,
2026-02-25,0.5528726300266913,
2026-02-26,0.49330365435530493,
2026-02-27,0.4777150045859266,
2026-02-28,0.4613410040436788,
2026-03-01,0.4877596930048197,
2026-03-02,0.5551635161298514,
2026-03-03,0.46133918786382616,
2026-03-04,0.5746547684682485,
2026-03-05,0.5007982957303155,
2026-03-06,0.4903715810637619,
2026-03-07,0.5366829101813503,
2026-03-08,0.5272158814640008,6.6e-05
2026-03-09,0.46744312341273114,-0.00011738
2026-03-10,0.524734410489868,-0.00024705
2026-03-11,0.5755439798169758,0.0001
2026-03-12,0.46082940359210406,-1.621e-05
2026-03-13,0.5602149842288204,-0.00010482
2026-03-14,0.5512687667544638,0.0001
2026-03-15,0.4864845290930968,2.334e-05
2026-03-16,0.4733026692233637,-3.075e-05
2026-03-17,0.5578064866142185,0.0001
2026-03-18,0.46685557724719073,2.006e-05
2026-03-19,0.47115569883295816,3.497e-05
2026-03-20,0.5382459522929528,4.499e-05
2026-03-21,0.5035699048026656,-7.488e-05
2026-03-22,0.4796449323477396,0.0001
2026-03-23,0.470197678202235,-4.334e-05
2026-03-24,0.49843324126721866,9.085e-05
2026-03-25,0.5556871607248611,-2.066e-05
2026-03-26,0.45814110013588577,-1.1e-05
2026-03-27,0.49328171299534457,-0.00015048
2026-03-28,0.53213170466836,6.777e-05
2026-03-29,0.5169729258888305,5.9e-06
2026-03-30,0.4908638707019474,-0.00012739
2026-03-31,0.46590695004098176,-0.00012067
2026-04-01,0.5078789803979912,-1.562e-05
2026-04-02,0.47930780627000447,-4.78e-06
2026-04-03,0.48545832792313953,1.315e-05
2026-04-04,0.5563492978297739,1.001e-05
2026-04-05,0.5195217664614981,4.416e-05
2026-04-06,0.4701704396793089,-3.168e-05
2026-04-07,0.4968517745557426,-0.00032921
2026-04-08,0.5204276446303857,5.117e-05
2026-04-09,0.5428762200195849,1.011e-05
2026-04-10,0.46258443295640117,-9.953e-05
2026-04-11,0.5603566476112636,8.17e-06
2026-04-12,0.5174199394877457,5.481e-05
2026-04-13,0.4967986786809684,-4.532e-05
2026-04-14,0.5203117360882242,2.996e-05
2026-04-15,0.5143035236263143,-1.174e-05
2026-04-16,0.5167344240519995,-2.716e-05
2026-04-17,0.4884502040615704,-0.00012271
2026-04-18,0.49790672898174093,5.615e-05
2026-04-19,0.5008850823582838,5.228e-05
2026-04-20,0.49398071280702976,-9.877e-05
2026-04-21,0.5213938335275998,9.712e-05
2026-04-22,0.4593876165080322,3.584e-05
2026-04-23,0.48662139095443435,-6.589e-05
2026-04-24,0.47202047168425554,-0.00013274
2026-04-25,0.48440558286552354,-0.00045333
2026-04-26,0.4721218125922473,-0.00027324
2026-04-27,0.5326553559595542,7.203e-05
2026-04-28,0.4221912318578835,-7.79e-05
2026-04-29,0.49653634066482244,-0.00010586
2026-04-30,0.5151787983360464,-3.166e-05
2026-05-01,0.5147781808296426,3.75e-06
2026-05-02,0.5522188926552472,9.48e-05
2026-05-03,0.5804848019970745,0.0001
2026-05-04,0.4971613383467211,3.548e-05
2026-05-05,0.49325920723818295,7.534e-05
2026-05-06,0.5138360603616121,4.941e-05
2026-05-07,0.48845247286622256,0.0001
2026-05-08,0.49053584629638025,-4.41e-06
2026-05-09,0.4942186154067644,8.887e-05
2026-05-10,0.47263556203420526,5.148e-05
2026-05-11,0.4943248498717797,6.608e-05
2026-05-12,0.47240102903868225,-7.13e-06
2026-05-13,0.4734646200657511,9.56e-05
2026-05-14,0.5273274541988369,0.0001
2026-05-15,0.44779574892555873,1.072e-05
2026-05-16,0.5084654860737969,6.638e-05
2026-05-17,0.49467642292746544,6.319e-05
2026-05-18,0.47436753566011897,4.578e-05
2026-05-19,0.48624837869115517,1.415e-05
2026-05-20,0.4915577924856449,6.479e-05
2026-05-21,0.5410243078778891,8.716e-05
2026-05-22,0.4774170185500028,4.981e-05
2026-05-23,0.4797244647426039,1.221e-05
2026-05-24,0.5261717274219994,0.0001
2026-05-25,0.5495893806008264,5.261e-05
2026-05-26,0.5153594203621591,6.711e-05
2026-05-27,0.41560461768766144,-4.306e-05
2026-05-28,0.476639903452885,-0.00013132
2026-05-29,0.48149959808159615,-0.00035189
2026-05-30,0.5185657312112126,-0.00010395
2026-05-31,0.5208405733834667,-4.72e-05
2026-06-01,0.49260812775450746,-0.00017086
2026-06-02,0.5057961755656818,-0.00071169
2026-06-03,0.5141935627016019,-0.00015868
2026-06-04,0.44855836789136344,-0.00108249
2026-06-05,0.49417507935078514,-0.00068598
2026-06-06,0.521832805814218,-0.0005494
2026-06-07,0.5203667656443788,-0.00016376
2026-06-08,0.5031021916078054,-0.00014515
2026-06-09,0.48655920327699437,-0.00032387
2026-06-10,0.49182416430404574,-0.00017524
2026-06-11,0.4781569251692369,-0.00020715
2026-06-12,0.5019244386278778,-0.00062865
2026-06-13,0.5751835305180792,-0.00012319
2026-06-14,0.5981162989871285,-0.00021429
2026-06-15,0.5019742469655364,-0.00010811
2026-06-16,0.47878742571181687,-0.00057058
2026-06-17,0.5531678485220959,-2.735e-05
2026-06-18,0.48414999240231266,-0.00043553
2026-06-19,0.5449092257043844,-4.39e-05
2026-06-20,0.5454896292533642,4.55e-05
2026-06-21,0.5499494664834564,-5.856e-05
2026-06-22,0.5424647989706317,-4.85e-06
2026-06-23,0.42463255305873715,-0.00015533
2026-06-24,0.5796069371026179,-0.00019921
2026-06-25,0.5039042064665086,-0.00010944
2026-06-26,0.5200904876711523,-0.00028175
2026-06-27,0.55374059801213,-0.00014837
2026-06-28,0.5116168632989282,8.518e-05
2026-06-29,0.5004174893521323,-4.754e-05
2026-06-30,0.4653238022763939,-0.00053816
2026-07-01,0.5542897500057781,-9.264e-05
2026-07-02,0.5286660906835572,-0.00022729
2026-07-03,0.5298335544610829,-4.927e-05
2026-07-04,0.5029785864952185,9.629e-05
2026-07-05,0.5911648896191326,0.0001
2026-07-06,0.47172470780848524,-6.117e-05
2026-07-07,0.50214356825744,2.508e-05
2026-07-08,0.4698357393556059,-6.256e-05
2026-07-09,0.5567994698827271,7.611e-05
2026-07-10,0.49327198730108246,8.76e-06
2026-07-11,0.5129557821140283,0.0001
2026-07-12,0.4918168985562376,6.493e-05
2026-07-13,0.4607393706376971,-0.00023667
2026-07-14,0.5350660898697963,-0.00010435
2026-07-15,0.4685769589937414,1.279e-05
2026-07-16,0.4572207348777556,-0.00067326
2026-07-17,0.5018923605912997,-0.00012169
2026-07-18,0.6059205048812399,-0.00012332
2026-07-19,0.5530152730996141,3.024e-05
2026-07-20,0.495655525276869,-8.653e-05
2026-07-21,0.525016024210068,6.361e-05
2026-07-22,0.4908876795709471,1.517e-05
2026-07-23,0.4477688427490816,-9.139e-05
2026-07-24,0.5603215492019408,5.359e-05
2026-07-25,0.46166037704715307,-2.013e-05
2026-07-26,0.5197799901399583,6.317e-05
2026-07-27,0.36430146323834806,-9.933e-05
2026-07-28,0.5544688886797765,-0.00016756
2026-07-29,0.49216410281137063,-4.722e-05
2026-07-30,0.5660124725825421,-8.18e-06
2026-07-31,0.49998224802964714,-1.884e-05
2026-08-01,0.5289701668397588,0.0001
2026-08-02,0.4692623536725419,-0.00014905
2026-08-03,0.5489569674369977,0.0001
2026-08-04,0.5234247614795571,5.799e-05
2026-08-05,0.4755811994149831,-4.434e-05
2026-08-06,0.4814990901337426,-0.00010465
2026-08-07,0.5286737231258801,-3.618e-05
2026-08-08,0.5115970669086108,-0.00010232
2026-08-09,0.542913759891329,7.51e-06
2026-08-10,0.4424632562474087,5.363e-05
2026-08-11,0.5659899900078098,-2.035e-05
2026-08-12,0.505843657953782,3.773e-05
2026-08-13,0.47171562652078114,3.726e-05
2026-08-14,0.4806110668967852,1.02e-06
2026-08-15,0.5166902309430944,1.367e-05
2026-08-16,0.4777771871785108,2.796e-05
2026-08-17,0.5586376702529287,-0.00013736
2026-08-18,0.5608683830745373,7.26e-06
2026-08-19,0.4876785542640485,-9.106e-05
2026-08-20,0.5141364200005158,0.0001
2026-08-21,0.5538551412701685,0.0001
2026-08-22,0.4651791382055071,0.0001
