date,open,high,low,close
2025-08-07 17:00:00,147.35899,147.56799,146.942,147.095001
2025-08-07 21:00:00,147.098007,147.194,146.716,147.14799
2025-08-08 01:00:00,147.144,147.37399,147.112,147.157
2025-08-08 05:00:00,147.159,147.69701,147.132,147.646
2025-08-08 09:00:00,147.647,147.892,147.53999,147.845
2025-08-08 13:00:00,147.838,147.90401,147.63,147.73399
2025-08-08 17:00:00,147.73399,147.819,147.627,147.69299
2025-08-10 21:00:00,147.726,147.771,147.56799,147.662
2025-08-11 01:00:00,147.659,147.716,147.422,147.48199
2025-08-11 05:00:00,147.481,147.662,147.347,147.506
2025-08-11 09:00:00,147.502,147.95,147.48199,147.806
2025-08-11 13:00:00,147.804,148.11301,147.782,147.989
2025-08-11 17:00:00,147.98801,148.252,147.967,148.13901
2025-08-11 21:00:00,148.14101,148.433,147.923,148.405
2025-08-12 01:00:00,148.40601,148.44501,148.20399,148.353
2025-08-12 05:00:00,148.349,148.466,148.146,148.423
2025-08-12 09:00:00,148.423,148.519,147.841,148.039001
2025-08-12 13:00:00,148.033005,148.44701,147.57401,147.713
2025-08-12 17:00:00,147.711,147.87601,147.685,147.83501
2025-08-12 21:00:00,147.819,147.894,147.69099,147.80499
2025-08-13 01:00:00,147.80099,148.16901,147.728,147.931
2025-08-13 05:00:00,147.92999,148.0090027,147.196,147.26801
2025-08-13 09:00:00,147.26401,147.56599,147.15199,147.41
2025-08-13 13:00:00,147.409,147.43401,147.087006,147.341
2025-08-13 17:00:00,147.345,147.513,147.314,147.355
2025-08-13 21:00:00,147.36099,147.39799,146.616,146.688
2025-08-14 01:00:00,146.688,146.75101,146.332,146.383
2025-08-14 05:00:00,146.384,146.633,146.21001,146.552
2025-08-14 09:00:00,146.55099,147.106,146.422,146.95
2025-08-14 13:00:00,146.95399,147.892,146.94501,147.845
2025-08-14 17:00:00,147.847,147.96201,147.718,147.75301
2025-08-14 21:00:00,147.739,147.868,147.46201,147.483
2025-08-15 01:00:00,147.476,147.515,147.11,147.134
2025-08-15 05:00:00,147.13901,147.22301,146.84801,146.85201
2025-08-15 09:00:00,146.855,147.28,146.73399,146.89
2025-08-15 13:00:00,146.882,147.26401,146.76401,147.201
2025-08-15 17:00:00,147.196,147.332,147.138,147.177
2025-08-17 21:00:00,147.17,147.463,147.161,147.42101
2025-08-18 01:00:00,147.42101,147.584,147.29401,147.373
2025-08-18 05:00:00,147.373,147.521,147.11301,147.336
2025-08-18 09:00:00,147.336,147.79401,147.27299,147.728
2025-08-18 13:00:00,147.728,147.985,147.674,147.78999
2025-08-18 17:00:00,147.78999,147.925,147.65401,147.869
2025-08-18 21:00:00,147.87,147.98199,147.71201,147.776
2025-08-19 01:00:00,147.771,148.11301,147.61501,147.754
2025-08-19 05:00:00,147.75999,147.778,147.52699,147.664
2025-08-19 09:00:00,147.659,147.853,147.59599,147.776
2025-08-19 13:00:00,147.776,147.903,147.547,147.619
2025-08-19 17:00:00,147.619,147.698,147.439,147.655
2025-08-19 21:00:00,147.662,147.817,147.49899,147.56799
2025-08-20 01:00:00,147.56799,147.666,147.416,147.575
2025-08-20 05:00:00,147.575,147.696,147.132,147.582
2025-08-20 09:00:00,147.58,147.591,147.235,147.27
2025-08-20 13:00:00,147.27,147.44,146.866,147.11099
2025-08-20 17:00:00,147.11301,147.493,146.993,147.30901
2025-08-20 21:00:00,147.311,147.46201,147.248,147.383
2025-08-21 01:00:00,147.381,147.507,147.25,147.381
2025-08-21 05:00:00,147.382,147.63901,147.33299,147.582
2025-08-21 09:00:00,147.58501,147.933,147.474,147.75
2025-08-21 13:00:00,147.74899,148.403,147.578,148.282
2025-08-21 17:00:00,148.282,148.407,148.16499,148.35201
2025-08-21 21:00:00,148.36301,148.506,148.215,148.46899
2025-08-22 01:00:00,148.47,148.763,148.405,148.745
2025-08-22 05:00:00,148.739,148.778,148.40601,148.634
2025-08-22 09:00:00,148.632,148.74001,148.592,148.70599
2025-08-22 13:00:00,148.69901,148.72,146.56799,146.70799
2025-08-22 17:00:00,146.702,147.0010071,146.57201,146.903
2025-08-24 21:00:00,147.063004,147.52699,147.039001,147.38499
2025-08-25 01:00:00,147.38499,147.515,147.2,147.228
2025-08-25 05:00:00,147.23,147.37601,147.091995,147.286
2025-08-25 09:00:00,147.28101,147.452,147.216,147.381
2025-08-25 13:00:00,147.375,147.673,147.285,147.533
2025-08-25 17:00:00,147.53101,147.937,147.495,147.763
2025-08-25 21:00:00,147.76401,147.882,146.981,147.105
2025-08-26 01:00:00,147.105,147.814,147.10201,147.76801
2025-08-26 05:00:00,147.771,147.908,147.487,147.57201
2025-08-26 09:00:00,147.564,147.66701,147.321,147.536
2025-08-26 13:00:00,147.54401,147.72099,147.093994,147.302
2025-08-26 17:00:00,147.302,147.54401,147.265,147.358
2025-08-26 21:00:00,147.35899,147.58299,147.22701,147.58299
2025-08-27 01:00:00,147.575,147.95799,147.508,147.938
2025-08-27 05:00:00,147.938,148.0039978,147.649,147.91
2025-08-27 09:00:00,147.91,148.183,147.858,148.069
2025-08-27 13:00:00,148.063995,148.12801,147.33299,147.353
2025-08-27 17:00:00,147.36099,147.521,147.287,147.379
2025-08-27 21:00:00,147.408,147.489,147.19501,147.28999
2025-08-28 01:00:00,147.29201,147.44701,147.076996,147.157
2025-08-28 05:00:00,147.15401,147.403,146.993,147.183
2025-08-28 09:00:00,147.189,147.189,146.802,147.098007
2025-08-28 13:00:00,147.103,147.23199,146.82401,146.842
2025-08-28 17:00:00,146.85001,146.99699,146.65401,146.918
2025-08-28 21:00:00,146.895,147.082001,146.754,146.819
2025-08-29 01:00:00,146.819,147.114,146.77699,146.89799
2025-08-29 05:00:00,146.899,147.198,146.86301,146.953
2025-08-29 09:00:00,146.94501,147.411,146.93201,147.32201
2025-08-29 13:00:00,147.315,147.39,146.761,146.908
2025-08-29 17:00:00,146.91,147.12199,146.87801,146.998
2025-08-29 21:00:00,146.993,146.993,146.993,146.993
2025-08-31 21:00:00,147.12,147.257,147.076004,147.22701
2025-09-01 01:00:00,147.22701,147.382,146.83501,147.041
2025-09-01 05:00:00,147.044998,147.203,146.78,146.98199
2025-09-01 09:00:00,146.98199,147.233,146.93401,147.196
2025-09-01 13:00:00,147.203,147.306,147.162,147.23199
2025-09-01 17:00:00,147.229,147.241,147.13699,147.16
2025-09-01 21:00:00,147.16299,147.35899,147.039993,147.30499
2025-09-02 01:00:00,147.297,147.86099,147.187,147.72
2025-09-02 05:00:00,147.717,148.793,147.69299,148.439
2025-09-02 09:00:00,148.435,148.94501,148.367,148.82401
2025-09-02 13:00:00,148.823,148.84801,147.92999,148.295
2025-09-02 17:00:00,148.29201,148.534,148.241,148.355
2025-09-02 21:00:00,148.35201,148.76601,148.25999,148.75101
2025-09-03 01:00:00,148.75301,148.923,148.548,148.582
2025-09-03 05:00:00,148.582,149.13699,148.48399,148.586
2025-09-03 09:00:00,148.58099,148.798,148.427,148.72099
2025-09-03 13:00:00,148.72099,148.797,147.903,147.935
2025-09-03 17:00:00,147.93401,148.16,147.875,148.072006
2025-09-03 21:00:00,148.046005,148.17,147.899,148.022995
2025-09-04 01:00:00,148.024002,148.284,147.784,148.239
2025-09-04 05:00:00,148.23399,148.414,148.106,148.211
2025-09-04 09:00:00,148.211,148.53,148.0019989,148.422
2025-09-04 13:00:00,148.422,148.778,148.345,148.621
2025-09-04 17:00:00,148.616,148.673,148.42599,148.466
2025-09-04 21:00:00,148.479,148.54201,148.097,148.168
2025-09-05 01:00:00,148.164,148.26401,148.076004,148.213
2025-09-05 05:00:00,148.214,148.274,148.108,148.15601
2025-09-05 09:00:00,148.158,148.25101,147.166,147.293
2025-09-05 13:00:00,147.297,147.467,146.812,147.142
2025-09-05 17:00:00,147.13901,147.506,147.12601,147.394
2025-09-07 21:00:00,148.42799,148.577,148.203,148.33299
2025-09-08 01:00:00,148.33299,148.38699,148.0,148.16901
2025-09-08 05:00:00,148.159,148.17999,147.46001,147.68201
2025-09-08 09:00:00,147.67999,147.881,147.64301,147.69501
2025-09-08 13:00:00,147.69,147.87399,147.533,147.687
2025-09-08 17:00:00,147.67999,147.76601,147.33099,147.448
2025-09-08 21:00:00,147.48,147.575,147.146,147.339
2025-09-09 01:00:00,147.343,147.40199,147.089005,147.123
2025-09-09 05:00:00,147.127,147.33299,146.55299,146.62199
2025-09-09 09:00:00,146.62,147.0070038,146.304,146.918
2025-09-09 13:00:00,146.918,147.349,146.51401,147.26801
2025-09-09 17:00:00,147.26601,147.47,147.231,147.395
2025-09-09 21:00:00,147.40401,147.476,147.241,147.418
2025-09-10 01:00:00,147.418,147.571,147.26401,147.326
2025-09-10 05:00:00,147.321,147.586,147.27499,147.517
2025-09-10 09:00:00,147.51199,147.647,147.084,147.52699
2025-09-10 13:00:00,147.52699,147.604,147.258,147.371
