Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,USO,DBC,DBA,UUP,BTC,ETH
2012-04-15,107.0134048461914,58.562042236328125,65.62682342529297,33.794395446777344,30.84980583190918,78.45430755615234,76.94548797607422,70.0545654296875,41.29666519165039,160.85000610351562,30.549999237060547,313.20001220703125,23.959699630737305,23.656003952026367,18.51247787475586,,
2012-04-22,107.64550018310547,58.110801696777344,66.17961883544922,34.52427673339844,30.974205017089844,78.6087646484375,77.091796875,70.16326904296875,41.512699127197266,159.5399932861328,30.75,315.1199951171875,23.706069946289062,23.432512283325195,18.320335388183594,,
2012-04-29,109.54951477050781,59.491024017333984,67.97006225585938,34.91828536987305,30.95956802368164,78.75650787353516,77.28943634033203,70.38668823242188,41.83440399169922,161.3800048828125,30.3700008392334,316.9599914550781,23.92588233947754,23.3895320892334,18.228443145751953,,
2012-05-06,106.90418243408203,57.243751525878906,65.25554656982422,33.762088775634766,30.264419555664062,79.51904296875,77.66175842285156,70.56196594238281,41.999874114990234,159.47000122070312,29.40999984741211,298.32000732421875,23.029720306396484,23.11446189880371,18.38716697692871,,
2012-05-13,105.81953430175781,56.78367614746094,65.0987777709961,33.04511642456055,29.2473201751709,80.43447875976562,78.02828979492188,70.8043441772461,41.97215270996094,153.55999755859375,28.079999923706055,290.0799865722656,22.5562744140625,22.676069259643555,18.579309463500977,,
2012-05-20,101.23905181884766,53.80204391479492,61.62519836425781,31.0750789642334,27.286277770996094,83.59798431396484,78.69534301757812,69.9681625366211,40.48387908935547,154.5500030517578,27.790000915527344,275.44000244140625,22.209646224975586,23.33795738220215,18.763093948364258,,
2012-05-27,103.08061218261719,54.91684341430664,63.192848205566406,31.068614959716797,27.1838321685791,83.05952453613281,78.58544158935547,70.21656799316406,40.73806381225586,152.67999267578125,27.6200008392334,273.760009765625,22.02364730834961,22.658876419067383,19.063838958740234,,
2012-06-03,100.00614929199219,53.44813919067383,60.90736389160156,30.067441940307617,26.84723663330078,87.92549896240234,80.25865936279297,71.31238555908203,40.214542388916016,157.5,27.6200008392334,251.44000244140625,20.89921760559082,22.17750358581543,19.147380828857422,,
2012-06-10,103.8609390258789,55.62464141845703,63.506370544433594,31.333446502685547,27.754581451416016,84.45185089111328,79.26009368896484,70.81990814208984,41.24698257446289,154.72999572753906,27.75,254.39999389648438,21.25429916381836,22.839393615722656,19.05548858642578,,
2012-06-17,105.21484375,55.85890579223633,63.71266174316406,31.97290802001953,28.53022575378418,85.25447845458984,79.619873046875,71.06311798095703,41.52604293823242,157.83999633789062,27.809999465942383,253.0399932861328,21.017578125,22.34082794189453,18.7965145111084,,
2012-06-24,104.68147277832031,56.17812728881836,63.93545150756836,32.01713180541992,27.98310661315918,84.32371520996094,78.98844909667969,71.05094909667969,41.935306549072266,152.63999938964844,26.149999618530273,240.8000030517578,20.620222091674805,22.7706241607666,18.92182159423828,,
2012-07-01,106.75218963623047,56.896461486816406,65.96940612792969,33.02180862426758,28.97536277770996,84.44513702392578,79.24539947509766,71.49479675292969,42.4561653137207,155.19000244140625,26.649999618530273,254.63999938964844,21.77001953125,24.257720947265625,18.771451950073242,,
2012-07-08,106.27371215820312,56.8609733581543,66.773681640625,32.67809295654297,28.708786010742188,85.88424682617188,79.90717315673828,72.30125427246094,42.60490798950195,153.7100067138672,26.299999237060547,252.72000122070312,21.905288696289062,24.928203582763672,19.172441482543945,,
2012-07-15,106.47766876220703,56.20475387573242,66.14347839355469,32.61861801147461,28.50144386291504,87.31045532226562,80.20869445800781,72.8441390991211,42.60490798950195,154.13999938964844,26.440000534057617,261.44000244140625,22.573183059692383,25.29783058166504,19.15573501586914,,
2012-07-22,107.0423812866211,56.96739196777344,65.44700622558594,32.486412048339844,28.57549476623535,87.91200256347656,80.45863342285156,73.6311264038086,42.72652053833008,153.6699981689453,26.479999542236328,273.6000061035156,23.359439849853516,26.062868118286133,19.1975040435791,,
2012-07-29,108.77584075927734,57.52606964111328,65.77035522460938,33.292781829833984,29.271554946899414,86.84404754638672,79.95867156982422,73.41763305664062,42.99312210083008,157.5399932861328,26.959999084472656,269.3599853515625,23.18189811706543,25.787797927856445,18.997007369995117,,
2012-08-05,109.30133819580078,58.17341613769531,65.18164825439453,33.70259094238281,29.5677547454834,86.30921173095703,79.83436584472656,73.77384185791016,43.12775421142578,155.5500030517578,26.959999084472656,272.55999755859375,23.266443252563477,25.822181701660156,18.905115127563477,,
2012-08-12,110.47003936767578,59.290775299072266,66.26787567138672,34.284236907958984,30.1601505279541,85.14411926269531,79.52506256103516,73.43721008300781,43.01015090942383,157.17999267578125,27.260000228881836,278.79998779296875,23.71452522277832,25.736221313476562,18.946884155273438,,
2012-08-19,111.52111053466797,60.58548355102539,67.7520980834961,34.568458557128906,29.967613220214844,82.36700439453125,78.58980560302734,72.4947280883789,43.052459716796875,156.72000122070312,27.229999542236328,287.6000061035156,23.88361167907715,25.581493377685547,18.946884155273438,,
2012-08-26,110.99556732177734,60.558902740478516,66.94780731201172,34.43626022338867,29.656606674194336,84.54129028320312,79.41462707519531,73.36990356445312,43.33937454223633,161.97000122070312,29.739999771118164,285.44000244140625,24.11188316345215,25.710433959960938,18.72968101501465,,
2012-09-02,110.7210693359375,60.44361877441406,67.26290130615234,34.105777740478516,29.0864315032959,86.51238250732422,80.26144409179688,73.94522857666016,43.424015045166016,164.22000122070312,30.790000915527344,287.1199951171875,24.34014892578125,26.148826599121094,18.629432678222656,,
2012-09-09,113.20755004882812,61.56983947753906,69.86652374267578,35.20297622680664,30.093503952026367,84.19223022460938,79.60589599609375,73.62898254394531,43.75883483886719,168.44000244140625,32.63999938964844,287.0400085449219,24.492326736450195,25.994098663330078,18.38716697692871,,
2012-09-16,115.48998260498047,62.234920501708984,71.64096069335938,36.452205657958984,31.374536514282227,80.30270385742188,78.5882339477539,73.48777770996094,44.39731979370117,171.8000030517578,33.599998474121094,294.7200012207031,25.134859085083008,26.441085815429688,18.078067779541016,,
2012-09-23,115.02619171142578,62.385738372802734,70.8946762084961,36.04901885986328,30.937658309936523,82.5088119506836,79.34780883789062,74.16310119628906,44.05207443237305,171.9600067138672,33.47999954223633,275.9200134277344,24.204877853393555,25.59868812561035,18.16996192932129,,
2012-09-30,113.52794647216797,60.980594635009766,69.45628356933594,35.031124114990234,30.60443687438965,84.32124328613281,79.98197937011719,74.75862121582031,43.65006637573242,171.88999938964844,33.47999954223633,272.9599914550781,24.24715232849121,25.280635833740234,18.311981201171875,,
2012-10-07,115.23908233642578,61.34519958496094,70.01397705078125,35.78462219238281,31.063547134399414,82.40975189208984,79.48062133789062,74.85343170166016,43.956729888916016,172.6199951171875,33.45000076293945,266.79998779296875,24.1287899017334,25.039949417114258,18.17831802368164,,
2012-10-14,112.67632293701172,59.299781799316406,68.34087371826172,35.14349365234375,30.560007095336914,84.32803344726562,79.84973907470703,75.59869384765625,43.980491638183594,170.05999755859375,32.45000076293945,272.0,24.137243270874023,24.850839614868164,18.236797332763672,,
2012-10-21,113.07059478759766,58.41046905517578,68.13275146484375,35.78462219238281,30.730318069458008,82.81112670898438,79.18525695800781,75.62948608398438,44.19442367553711,166.97000122070312,31.100000381469727,266.7200012207031,23.672252655029297,25.160293579101562,18.2200870513916,,
2012-10-28,111.46190643310547,58.11698913574219,67.541748046875,35.44092559814453,30.51558494567871,83.4233169555664,79.34031677246094,75.53092956542969,43.96620559692383,165.92999267578125,31.079999923706055,254.32000732421875,23.317169189453125,24.764881134033203,18.320335388183594,,
2012-11-04,111.62748718261719,57.95692443847656,67.58338928222656,35.48719787597656,30.804367065429688,83.16484069824219,79.57280731201172,75.28459930419922,43.9329719543457,162.60000610351562,29.950000762939453,250.8000030517578,22.94517707824707,24.799266815185547,18.43729019165039,,
2012-11-11,108.9464111328125,56.40950012207031,66.07672882080078,34.89894104003906,30.360076904296875,85.6953125,80.43047332763672,74.85343170166016,43.448020935058594,167.82000732421875,31.540000915527344,253.83999633789062,23.334077835083008,24.661731719970703,18.52918243408203,,
2012-11-18,107.53491973876953,55.40456771850586,64.4951171875,34.42965316772461,29.923189163208008,85.96054077148438,80.61529541015625,74.9273910522461,43.22932815551758,165.8800048828125,31.209999084472656,255.44000244140625,23.25798797607422,24.31789207458496,18.579309463500977,,
2012-11-25,111.46190643310547,57.7168083190918,66.9840316772461,36.04901885986328,30.82657814025879,84.49127960205078,79.95722198486328,75.01361846923828,43.91394805908203,169.61000061035156,32.97999954223633,258.55999755859375,23.722978591918945,24.696115493774414,18.320335388183594,,
2012-12-02,112.09276580810547,58.517173767089844,68.3242416381836,36.399322509765625,30.9450626373291,84.88583374023438,80.44526672363281,75.21686553955078,44.23722839355469,166.0500030517578,32.36000061035156,260.4800109863281,23.75679588317871,24.799266815185547,18.311981201171875,,
2012-12-09,112.29779052734375,57.74347686767578,68.40746307373047,36.676937103271484,31.68555450439453,84.80744171142578,80.43563842773438,75.33116149902344,44.54739761352539,165.16000366210938,32.029998779296875,252.24000549316406,23.342533111572266,24.773475646972656,18.37045669555664,,
2012-12-16,112.05333709716797,57.53004837036133,68.55728149414062,37.0669059753418,32.122440338134766,84.24174499511719,80.0358657836914,74.8307113647461,44.57129669189453,164.1300048828125,31.170000076293945,254.47999572753906,23.291805267333984,24.48121452331543,18.16996192932129,,
2012-12-23,113.39603424072266,58.306541442871094,70.68759155273438,37.76017379760742,32.235191345214844,83.32159423828125,79.68050384521484,74.89868927001953,44.748138427734375,160.3300018310547,29.0,258.8800048828125,23.266443252563477,24.223339080810547,18.17831802368164,,
2012-12-30,111.20421600341797,57.03667449951172,69.29383850097656,37.426063537597656,32.56605529785156,84.22908020019531,80.11134338378906,75.36479949951172,44.664886474609375,160.5399932861328,29.100000381469727,264.32000732421875,23.359439849853516,24.12018585205078,18.195024490356445,,
2013-01-06,116.23908996582031,59.58536148071289,73.24847412109375,38.40164566040039,33.52738571166992,80.87523651123047,78.95480346679688,74.69559478759766,45.16947555541992,160.44000244140625,29.239999771118164,271.0400085449219,23.2748966217041,23.759157180786133,18.37045669555664,,
2013-01-13,116.79497528076172,60.148746490478516,73.33241271972656,38.78252029418945,33.139869689941406,81.86568450927734,79.25881958007812,75.03638458251953,45.41934585571289,161.05999755859375,29.479999542236328,272.4800109863281,23.32562255859375,23.87090492248535,18.161611557006836,,
2013-01-20,117.79560852050781,59.97882080078125,74.36518096923828,38.85601806640625,33.37089538574219,81.9954605102539,79.38483428955078,74.76996612548828,45.515445709228516,163.08999633789062,30.809999465942383,278.1600036621094,23.655344009399414,23.956863403320312,18.253501892089844,,
2013-01-27,119.32038879394531,59.91624069213867,75.51544952392578,39.44404602050781,32.908843994140625,80.62246704101562,78.82881164550781,74.41676330566406,45.577919006347656,160.64999389648438,30.209999084472656,278.239990234375,23.680707931518555,23.70758056640625,18.195024490356445,,
2013-02-03,120.1065902709961,60.50645446777344,75.87647247314453,39.72467803955078,33.169673919677734,79.09696960449219,78.39103698730469,73.80342102050781,45.16017532348633,161.4499969482422,30.780000686645508,282.79998779296875,24.162609100341797,23.853710174560547,18.044654846191406,,
