date,open,high,low,close
2023-10-18 16:00:00,1.2149,1.2176,1.2137,1.2141
2023-10-18 20:00:00,1.214,1.2149,1.2138,1.2141
2023-10-19 00:00:00,1.2142,1.2146,1.2127,1.21285
2023-10-19 04:00:00,1.2127,1.2145,1.2111,1.2119
2023-10-19 08:00:00,1.2117,1.2127,1.209,1.212
2023-10-19 12:00:00,1.2121,1.2162,1.2119,1.2143
2023-10-19 16:00:00,1.2142,1.2191,1.2127,1.2151
2023-10-19 20:00:00,1.2149,1.2149,1.2134,1.21355
2023-10-20 00:00:00,1.21355,1.2145,1.2118,1.2138
2023-10-20 04:00:00,1.2137,1.2139,1.20935,1.21035
2023-10-20 08:00:00,1.2104,1.2146,1.2097,1.2141
2023-10-20 12:00:00,1.2142,1.21615,1.212,1.215
2023-10-20 16:00:00,1.2151,1.21705,1.2135,1.2161
2023-10-22 20:00:00,1.216,1.2167,1.2156,1.2163
2023-10-23 00:00:00,1.2163,1.2165,1.2148,1.2148
2023-10-23 04:00:00,1.2147,1.2171,1.2144,1.2168
2023-10-23 08:00:00,1.21695,1.2185,1.2143,1.2169
2023-10-23 12:00:00,1.217,1.22375,1.2151,1.22345
2023-10-23 16:00:00,1.2232,1.2259,1.222,1.2245
2023-10-23 20:00:00,1.2245,1.2254,1.2234,1.22495
2023-10-24 00:00:00,1.2249,1.22745,1.2247,1.22655
2023-10-24 04:00:00,1.2266,1.2289,1.2259,1.22625
2023-10-24 08:00:00,1.2262,1.2266,1.221,1.2219
2023-10-24 12:00:00,1.2219,1.2222,1.2159,1.2168
2023-10-24 16:00:00,1.2168,1.2173,1.2153,1.2164
2023-10-24 20:00:00,1.2163,1.217,1.2156,1.2163
2023-10-25 00:00:00,1.2163,1.2176,1.21605,1.2171
2023-10-25 04:00:00,1.2171,1.21765,1.21375,1.2142
2023-10-25 08:00:00,1.2141,1.2151,1.2114,1.2119
2023-10-25 12:00:00,1.2119,1.21565,1.2116,1.2138
2023-10-25 16:00:00,1.21375,1.21405,1.2112,1.21125
2023-10-25 20:00:00,1.2113,1.2116,1.2095,1.21025
2023-10-26 00:00:00,1.2102,1.2105,1.2077,1.208
2023-10-26 04:00:00,1.2081,1.2094,1.2069,1.209
2023-10-26 08:00:00,1.2089,1.20965,1.2074,1.2085
2023-10-26 12:00:00,1.2087,1.2134,1.208,1.2111
2023-10-26 16:00:00,1.2111,1.214,1.20975,1.2122
2023-10-26 20:00:00,1.2121,1.214,1.2118,1.21365
2023-10-27 00:00:00,1.2136,1.214,1.21225,1.2135
2023-10-27 04:00:00,1.21375,1.2142,1.2113,1.212
2023-10-27 08:00:00,1.2119,1.2143,1.21055,1.2109
2023-10-27 12:00:00,1.2109,1.2163,1.2106,1.2149
2023-10-27 16:00:00,1.215,1.2155,1.21105,1.2121
2023-10-29 20:00:00,1.21305,1.2131,1.21105,1.2114
2023-10-30 00:00:00,1.2113,1.2122,1.21065,1.21205
2023-10-30 04:00:00,1.21205,1.2134,1.2092,1.2098
2023-10-30 08:00:00,1.2098,1.2142,1.209,1.2125
2023-10-30 12:00:00,1.2125,1.21655,1.212,1.2156
2023-10-30 16:00:00,1.2156,1.2175,1.2141,1.2173
2023-10-30 20:00:00,1.2173,1.21735,1.21615,1.21635
2023-10-31 00:00:00,1.2164,1.2164,1.2137,1.2145
2023-10-31 04:00:00,1.2144,1.21615,1.2139,1.2156
2023-10-31 08:00:00,1.2156,1.2201,1.2146,1.218
2023-10-31 12:00:00,1.218,1.21865,1.2119,1.2134
2023-10-31 16:00:00,1.2134,1.2155,1.2123,1.2153
2023-10-31 20:00:00,1.2153,1.2155,1.2142,1.2151
2023-11-01 00:00:00,1.215,1.21525,1.2134,1.2145
2023-11-01 04:00:00,1.2145,1.21615,1.2132,1.2152
2023-11-01 08:00:00,1.2154,1.2161,1.2123,1.2126
2023-11-01 12:00:00,1.2127,1.2165,1.20955,1.2126
2023-11-01 16:00:00,1.2126,1.2157,1.2098,1.2149
2023-11-01 20:00:00,1.2148,1.2182,1.21375,1.2182
2023-11-02 00:00:00,1.2182,1.2197,1.2179,1.2192
